date,state,posture,source,day_date,day,time,hour,state_string,posture_string
2023-03-01 09:03:31+00:00,2,-1,cr,2023-03-01,1,09:03:31,9,Standing,Unavailable
2023-02-28 19:20:30+00:00,2,-1,cr,2023-02-28,28,19:20:30,19,Standing,Unavailable
2023-02-28 17:25:32+00:00,1,1,cr,2023-02-28,28,17:25:32,17,Sitting,Slouched
2023-02-28 16:10:03+00:00,1,0,cr,2023-02-28,28,16:10:03,16,Sitting,Straight
2023-02-28 15:50:40+00:00,1,1,cr,2023-02-28,28,15:50:40,15,Sitting,Slouched
2023-02-28 15:19:35+00:00,2,-1,cr,2023-02-28,28,15:19:35,15,Standing,Unavailable
2023-02-28 14:43:08+00:00,1,1,cr,2023-02-28,28,14:43:08,14,Sitting,Slouched
2023-02-28 13:51:38+00:00,2,-1,cr,2023-02-28,28,13:51:38,13,Standing,Unavailable
2023-02-28 13:39:31+00:00,1,0,cr,2023-02-28,28,13:39:31,13,Sitting,Straight
2023-02-28 11:37:28+00:00,1,1,cr,2023-02-28,28,11:37:28,11,Sitting,Slouched
2023-02-28 11:27:57+00:00,2,-1,cr,2023-02-28,28,11:27:57,11,Standing,Unavailable
2023-02-28 10:54:02+00:00,3,-1,cr,2023-02-28,28,10:54:02,10,Active,Unavailable
2023-02-28 10:04:41+00:00,1,0,cr,2023-02-28,28,10:04:41,10,Sitting,Straight
2023-02-28 09:17:28+00:00,3,-1,cr,2023-02-28,28,09:17:28,9,Active,Unavailable
2023-02-28 08:38:33+00:00,2,-1,cr,2023-02-28,28,08:38:33,8,Standing,Unavailable
2023-02-27 12:02:11+00:00,1,1,cr,2023-02-27,27,12:02:11,12,Sitting,Slouched
2023-02-27 11:01:29+00:00,2,-1,cr,2023-02-27,27,11:01:29,11,Standing,Unavailable
2023-02-26 10:50:33+00:00,2,-1,cr,2023-02-26,26,10:50:33,10,Standing,Unavailable
2023-02-25 17:34:26+00:00,1,1,cr,2023-02-25,25,17:34:26,17,Sitting,Slouched
2023-02-24 19:44:01+00:00,1,1,cr,2023-02-24,24,19:44:01,19,Sitting,Slouched
2023-02-24 19:30:35+00:00,1,1,cr,2023-02-24,24,19:30:35,19,Sitting,Slouched
2023-02-24 19:12:34+00:00,1,0,cr,2023-02-24,24,19:12:34,19,Sitting,Straight
2023-02-24 18:42:22+00:00,1,1,cr,2023-02-24,24,18:42:22,18,Sitting,Slouched
2023-02-24 18:30:47+00:00,1,0,cr,2023-02-24,24,18:30:47,18,Sitting,Straight
2023-02-23 16:29:32+00:00,1,1,cr,2023-02-23,23,16:29:32,16,Sitting,Slouched
2023-02-23 16:14:58+00:00,1,1,cr,2023-02-23,23,16:14:58,16,Sitting,Slouched
2023-02-23 15:16:11+00:00,1,0,cr,2023-02-23,23,15:16:11,15,Sitting,Straight
2023-02-23 13:54:53+00:00,2,-1,cr,2023-02-23,23,13:54:53,13,Standing,Unavailable
2023-02-23 13:24:45+00:00,1,1,cr,2023-02-23,23,13:24:45,13,Sitting,Slouched
2023-02-23 13:17:44+00:00,1,1,cr,2023-02-23,23,13:17:44,13,Sitting,Slouched
2023-02-23 13:07:28+00:00,1,1,cr,2023-02-23,23,13:07:28,13,Sitting,Slouched
2023-02-23 12:30:24+00:00,1,0,cr,2023-02-23,23,12:30:24,12,Sitting,Straight
2023-02-23 11:51:38+00:00,1,1,cr,2023-02-23,23,11:51:38,11,Sitting,Slouched
2023-02-23 11:03:39+00:00,1,1,cr,2023-02-23,23,11:03:39,11,Sitting,Slouched
2023-02-23 10:18:36+00:00,1,1,cr,2023-02-23,23,10:18:36,10,Sitting,Slouched
2023-02-23 09:31:58+00:00,1,1,cr,2023-02-23,23,09:31:58,9,Sitting,Slouched
2023-02-23 09:27:59+00:00,2,-1,cr,2023-02-23,23,09:27:59,9,Standing,Unavailable
2023-02-22 16:40:25+00:00,1,1,cr,2023-02-22,22,16:40:25,16,Sitting,Slouched
2023-02-22 15:48:53+00:00,2,-1,cr,2023-02-22,22,15:48:53,15,Standing,Unavailable
2023-02-22 14:53:15+00:00,2,-1,cr,2023-02-22,22,14:53:15,14,Standing,Unavailable
2023-02-22 14:03:46+00:00,2,-1,cr,2023-02-22,22,14:03:46,14,Standing,Unavailable
2023-02-22 12:50:58+00:00,1,1,cr,2023-02-22,22,12:50:58,12,Sitting,Slouched
2023-02-22 12:14:33+00:00,2,-1,cr,2023-02-22,22,12:14:33,12,Standing,Unavailable
2023-02-22 11:21:50+00:00,1,1,cr,2023-02-22,22,11:21:50,11,Sitting,Slouched
2023-02-22 10:54:49+00:00,1,1,cr,2023-02-22,22,10:54:49,10,Sitting,Slouched
2023-02-22 09:44:27+00:00,1,1,cr,2023-02-22,22,09:44:27,9,Sitting,Slouched
2023-02-22 08:57:57+00:00,1,1,cr,2023-02-22,22,08:57:57,8,Sitting,Slouched
2023-02-20 12:49:02+00:00,1,0,cr,2023-02-20,20,12:49:02,12,Sitting,Straight
2023-02-20 12:31:49+00:00,1,0,cr,2023-02-20,20,12:31:49,12,Sitting,Straight
2023-02-20 12:11:23+00:00,1,0,cr,2023-02-20,20,12:11:23,12,Sitting,Straight
2023-02-20 11:10:21+00:00,1,1,cr,2023-02-20,20,11:10:21,11,Sitting,Slouched
2023-02-20 10:22:56+00:00,1,1,cr,2023-02-20,20,10:22:56,10,Sitting,Slouched
2023-02-19 19:21:38+00:00,1,0,cr,2023-02-19,19,19:21:38,19,Sitting,Straight
2023-02-19 17:09:02+00:00,0,-1,cr,2023-02-19,19,17:09:02,17,Lying,Unavailable
2023-02-19 16:12:15+00:00,1,1,cr,2023-02-19,19,16:12:15,16,Sitting,Slouched
2023-02-19 15:20:41+00:00,1,1,cr,2023-02-19,19,15:20:41,15,Sitting,Slouched
2023-02-19 13:18:21+00:00,2,-1,cr,2023-02-19,19,13:18:21,13,Standing,Unavailable
2023-02-19 12:22:11+00:00,1,1,cr,2023-02-19,19,12:22:11,12,Sitting,Slouched
2023-02-19 11:29:31+00:00,1,1,cr,2023-02-19,19,11:29:31,11,Sitting,Slouched
2023-02-19 11:10:46+00:00,1,0,cr,2023-02-19,19,11:10:46,11,Sitting,Straight
2023-02-19 10:42:37+00:00,1,0,cr,2023-02-19,19,10:42:37,10,Sitting,Straight
2023-02-19 10:06:13+00:00,1,0,cr,2023-02-19,19,10:06:13,10,Sitting,Straight
2023-02-18 20:58:36+00:00,1,1,cr,2023-02-18,18,20:58:36,20,Sitting,Slouched
2023-02-18 14:01:25+00:00,1,1,cr,2023-02-18,18,14:01:25,14,Sitting,Slouched
2023-02-18 13:00:47+00:00,1,1,cr,2023-02-18,18,13:00:47,13,Sitting,Slouched
2023-02-18 11:54:18+00:00,1,1,cr,2023-02-18,18,11:54:18,11,Sitting,Slouched
2023-02-18 11:04:11+00:00,1,1,cr,2023-02-18,18,11:04:11,11,Sitting,Slouched
2023-02-18 10:21:36+00:00,1,0,cr,2023-02-18,18,10:21:36,10,Sitting,Straight
2023-02-18 09:37:33+00:00,2,-1,cr,2023-02-18,18,09:37:33,9,Standing,Unavailable
2023-02-18 09:30:36+00:00,2,-1,cr,2023-02-18,18,09:30:36,9,Standing,Unavailable
2023-02-17 15:26:59+00:00,1,1,cr,2023-02-17,17,15:26:59,15,Sitting,Slouched
2023-02-17 15:04:40+00:00,1,1,cr,2023-02-17,17,15:04:40,15,Sitting,Slouched
2023-02-17 14:37:16+00:00,1,1,cr,2023-02-17,17,14:37:16,14,Sitting,Slouched
2023-02-17 13:32:51+00:00,1,1,cr,2023-02-17,17,13:32:51,13,Sitting,Slouched
2023-02-17 13:23:44+00:00,1,0,cr,2023-02-17,17,13:23:44,13,Sitting,Straight
2023-02-17 13:03:38+00:00,1,0,cr,2023-02-17,17,13:03:38,13,Sitting,Straight
2023-02-17 12:26:42+00:00,1,0,cr,2023-02-17,17,12:26:42,12,Sitting,Straight
2023-02-17 11:57:58+00:00,1,1,cr,2023-02-17,17,11:57:58,11,Sitting,Slouched
2023-02-17 11:34:06+00:00,1,1,cr,2023-02-17,17,11:34:06,11,Sitting,Slouched
2023-02-17 10:50:26+00:00,1,1,cr,2023-02-17,17,10:50:26,10,Sitting,Slouched
2023-02-17 09:50:05+00:00,2,-1,cr,2023-02-17,17,09:50:05,9,Standing,Unavailable
2023-02-17 09:37:03+00:00,1,0,cr,2023-02-17,17,09:37:03,9,Sitting,Straight
2023-02-17 09:23:03+00:00,2,-1,cr,2023-02-17,17,09:23:03,9,Standing,Unavailable
2023-02-16 21:26:41+00:00,2,-1,cr,2023-02-16,16,21:26:41,21,Standing,Unavailable
2023-02-16 12:00:13+00:00,1,1,cr,2023-02-16,16,12:00:13,12,Sitting,Slouched
2023-02-16 08:57:57+00:00,2,-1,cr,2023-02-16,16,08:57:57,8,Standing,Unavailable
2023-02-15 16:01:45+00:00,1,1,cr,2023-02-15,15,16:01:45,16,Sitting,Slouched
2023-02-15 13:35:41+00:00,1,1,cr,2023-02-15,15,13:35:41,13,Sitting,Slouched
2023-02-15 11:16:42+00:00,2,-1,cr,2023-02-15,15,11:16:42,11,Standing,Unavailable
2023-02-15 10:33:21+00:00,1,1,cr,2023-02-15,15,10:33:21,10,Sitting,Slouched
2023-02-15 09:05:53+00:00,1,0,cr,2023-02-15,15,09:05:53,9,Sitting,Straight
2023-02-15 07:43:13+00:00,1,1,cr,2023-02-15,15,07:43:13,7,Sitting,Slouched
2023-02-15 07:02:45+00:00,1,0,cr,2023-02-15,15,07:02:45,7,Sitting,Straight
2023-02-15 07:00:15+00:00,2,-1,cr,2023-02-15,15,07:00:15,7,Standing,Unavailable
2023-02-14 19:18:18+00:00,1,0,cr,2023-02-14,14,19:18:18,19,Sitting,Straight
2023-02-14 19:00:00+00:00,2,-1,cr,2023-02-14,14,19:00:00,19,Standing,Unavailable
2023-02-14 18:39:43+00:00,1,1,cr,2023-02-14,14,18:39:43,18,Sitting,Slouched
2023-02-14 18:22:46+00:00,1,1,cr,2023-02-14,14,18:22:46,18,Sitting,Slouched
2023-02-14 17:04:41+00:00,2,-1,cr,2023-02-14,14,17:04:41,17,Standing,Unavailable
2023-02-12 19:27:52+00:00,1,1,cr,2023-02-12,12,19:27:52,19,Sitting,Slouched
2023-02-12 19:13:24+00:00,1,1,cr,2023-02-12,12,19:13:24,19,Sitting,Slouched
2023-02-12 14:35:25+00:00,3,-1,cr,2023-02-12,12,14:35:25,14,Active,Unavailable
2023-02-12 14:13:20+00:00,3,-1,cr,2023-02-12,12,14:13:20,14,Active,Unavailable
2023-02-12 13:52:05+00:00,2,-1,cr,2023-02-12,12,13:52:05,13,Standing,Unavailable
2023-02-12 13:31:32+00:00,1,1,cr,2023-02-12,12,13:31:32,13,Sitting,Slouched
2023-02-12 12:00:51+00:00,1,0,cr,2023-02-12,12,12:00:51,12,Sitting,Straight
2023-02-12 10:37:08+00:00,2,-1,cr,2023-02-12,12,10:37:08,10,Standing,Unavailable
2023-02-12 10:07:41+00:00,3,-1,cr,2023-02-12,12,10:07:41,10,Active,Unavailable
2023-02-11 19:32:43+00:00,1,1,cr,2023-02-11,11,19:32:43,19,Sitting,Slouched
2023-02-11 17:59:27+00:00,1,1,cr,2023-02-11,11,17:59:27,17,Sitting,Slouched
2023-02-11 17:48:52+00:00,1,0,cr,2023-02-11,11,17:48:52,17,Sitting,Straight
2023-02-11 17:47:10+00:00,1,0,cr,2023-02-11,11,17:47:10,17,Sitting,Straight
2023-02-11 17:26:30+00:00,1,0,cr,2023-02-11,11,17:26:30,17,Sitting,Straight
2023-02-11 17:20:52+00:00,1,1,cr,2023-02-11,11,17:20:52,17,Sitting,Slouched
2023-02-11 15:33:18+00:00,1,0,cr,2023-02-11,11,15:33:18,15,Sitting,Straight
2023-02-11 15:17:14+00:00,1,1,cr,2023-02-11,11,15:17:14,15,Sitting,Slouched
2023-02-11 13:53:39+00:00,0,-1,cr,2023-02-11,11,13:53:39,13,Lying,Unavailable
2023-02-11 12:01:10+00:00,2,-1,cr,2023-02-11,11,12:01:10,12,Standing,Unavailable
2023-02-11 11:35:51+00:00,1,1,cr,2023-02-11,11,11:35:51,11,Sitting,Slouched
