type,startDate,endDate,value
meta_gender,2023-09-22 16:27:38 +0000,2023-09-22 16:27:38 +0000,-1
meta_firstName,2023-09-22 16:27:38 +0000,2023-09-22 16:27:38 +0000,
meta_lastName,2023-09-22 16:27:38 +0000,2023-09-22 16:27:38 +0000,
meta_dateOfBirth,2023-09-22 16:27:38 +0000,2023-09-22 16:27:38 +0000,2023-09-22 16:27:36 +0000
meta_height,2023-09-22 16:27:38 +0000,2023-09-22 16:27:38 +0000,-1
meta_weight,2023-09-22 16:27:38 +0000,2023-09-22 16:27:38 +0000,-1
meta_sittingHours,2023-09-22 16:27:38 +0000,2023-09-22 16:27:38 +0000,-1
feature_appleStandTime,2023-09-20 17:55:00 +0000,2023-09-20 18:00:00 +0000,1.0
feature_appleStandTime,2023-09-20 17:40:00 +0000,2023-09-20 17:45:00 +0000,1.0
feature_appleStandTime,2023-09-20 17:35:00 +0000,2023-09-20 17:40:00 +0000,4.0
feature_appleStandTime,2023-09-20 17:30:00 +0000,2023-09-20 17:35:00 +0000,1.0
feature_appleStandTime,2023-09-20 17:10:00 +0000,2023-09-20 17:15:00 +0000,2.0
feature_appleStandTime,2023-09-20 17:05:00 +0000,2023-09-20 17:10:00 +0000,1.0
feature_appleStandTime,2023-09-20 16:40:00 +0000,2023-09-20 16:45:00 +0000,1.0
feature_appleStandTime,2023-09-20 16:10:00 +0000,2023-09-20 16:15:00 +0000,1.0
feature_appleStandTime,2023-09-20 15:55:00 +0000,2023-09-20 16:00:00 +0000,1.0
feature_appleStandTime,2023-09-20 15:05:00 +0000,2023-09-20 15:10:00 +0000,1.0
feature_appleStandTime,2023-09-20 15:00:00 +0000,2023-09-20 15:05:00 +0000,1.0
feature_appleStandTime,2023-09-20 14:30:00 +0000,2023-09-20 14:35:00 +0000,1.0
feature_appleStandTime,2023-09-20 11:05:00 +0000,2023-09-20 11:10:00 +0000,1.0
feature_appleStandTime,2023-09-20 11:00:00 +0000,2023-09-20 11:05:00 +0000,1.0
feature_appleStandTime,2023-09-20 10:55:00 +0000,2023-09-20 11:00:00 +0000,1.0
feature_appleStandTime,2023-09-20 10:15:00 +0000,2023-09-20 10:20:00 +0000,1.0
